index,rail_line,station,start,middle,end,node_index,train_index_1,train_index_2
1,Jinghu High-speed,Beijingnan,-2,0,1,0,0,0
2,Jinghu High-speed,Langfang,58.5,59.498,61.498,74370,0,0
3,Jinghu High-speed,Tianjinnan,123.2,124.154,125.154,155000,0,0
4,Jinghu High-speed,Cangzhouxi,211,212.023,213.023,265030,0,0
5,Jinghu High-speed,Dezhoudong,314.8,315.818,316.818,394770,0,0
6,Jinghu High-speed,Jinanxi,407.1,408.055,409.055,510070,0,0
7,Jinghu High-speed,Taian,465.7,466.715,467.715,583390,0,0
8,Jinghu High-speed,Qufudong,535.1,537.103,538.103,671380,0,0
9,Jinghu High-speed,Tengzhoudong,591.1,593.071,594.071,741340,0,0
10,Jinghu High-speed,Zaozhuangxi,628.2,629.17,630.17,786460,0,0
11,Jinghu High-speed,Xuzhoudong,693.5,694.479,695.479,868000,0,0
12,Jinghu High-speed,Suzhoudong,760.7,761.708,762.708,952140,0,0
13,Jinghu High-speed,Bengbunan,848.7,849.666,850.666,1062080,0,0
14,Jinghu High-speed,Chuzhou,965,966.011,967.011,1207510,0,0
15,Jinghu High-speed,Nanjingnan,1024,1024.988,1025.988,1281240,0,0
16,Jinghu High-speed,Zhenjiangxi,1089.4,1090.395,1091.395,1362990,0,0
17,Jinghu High-speed,Danyangbei,1117,1119.032,1120.032,1398790,0,0
18,Jinghu High-speed,Changzhoubei,1150.4,1151.443,1152.443,1439300,0,0
19,Jinghu High-speed,Wuxidong,1206.8,1208.846,1209.846,1511060,0,0
20,Jinghu High-speed,Suzhoubei,1233.6,1235.648,1236.648,1544560,0,0
21,Jinghu High-speed,Kunshannan,1265.1,1267.071,1268.071,1583840,0,0
22,Jinghu High-speed,Hongqiao,1309.6,1310.642,1311.642,1638300,0,0
