time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
930,31,0,31,31,5.40746,
931,78,0,78,47,5.31677,
932,136,4,132,58,5.58035,
933,224,20,204,88,5.97304,
934,298,36,262,74,6.51364,
935,408,64,344,110,6.05625,
936,493,92,401,85,6.25921,
937,606,133,473,113,6.56579,
938,746,207,539,140,6.88823,
939,831,274,557,85,6.92892,
940,1031,344,687,200,7.24686,
941,1111,433,678,80,7.68925,
942,1206,529,677,95,7.62167,
943,1293,608,685,87,7.62972,
944,1365,698,667,72,8.26018,
945,1487,827,660,122,8.63889,
946,1600,912,688,113,8.29265,
947,1710,996,714,110,8.81617,
948,1824,1095,729,114,8.7677,
949,1899,1183,716,75,10.4991,
950,2033,1272,761,134,8.67327,
951,2187,1356,831,154,10.41,
952,2301,1448,853,114,10.6604,
953,2367,1533,834,66,10.3762,
954,2498,1629,869,131,10.0432,
955,2621,1736,885,123,11.2353,
956,2717,1826,891,96,11.077,
957,2822,1903,919,105,11.2551,
958,2913,2006,907,91,11.173,
959,2962,2098,864,49,14.3945,
960,3133,2186,947,171,12.1354,
961,3221,2276,945,88,12.6275,
962,3402,2380,1022,181,12.9635,
963,3483,2459,1024,81,12.0045,
964,3580,2549,1031,97,13.8711,
965,3673,2646,1027,93,12.6551,
966,3801,2736,1065,128,13.3903,
967,3906,2843,1063,105,13.2245,
968,4002,2927,1075,96,15.0942,
969,4051,3007,1044,49,13.7083,
970,4221,3095,1126,170,14.9091,
971,4296,3181,1115,75,12.8042,
972,4421,3281,1140,125,14.6018,
973,4563,3365,1198,142,15.7344,
974,4636,3441,1195,73,13.6126,
975,4770,3541,1229,134,17.4708,
976,4882,3643,1239,112,14.7132,
977,4941,3727,1214,59,14.6587,
978,5081,3823,1258,140,16.1917,
979,5173,3908,1265,92,14.6854,
980,5307,3986,1321,134,16.4119,
981,5415,4074,1341,108,17.8648,
982,5526,4185,1341,111,16.615,
983,5604,4286,1318,78,16.485,
984,5759,4376,1383,155,17.9141,
985,5857,4478,1379,98,19.3361,
986,5986,4565,1421,129,16.3544,
987,6084,4666,1418,98,17.1549,
988,6160,4758,1402,76,18.5634,
989,6190,4855,1335,30,19.9888,
990,6413,4953,1460,223,18.0187,
991,6484,5029,1455,71,18.3235,
992,6588,5122,1466,104,19.1948,
993,6688,5212,1476,100,18.2543,
994,6819,5313,1506,131,19.8528,
995,6968,5405,1563,149,21.4969,
996,7050,5498,1552,82,19.9573,
997,7168,5591,1577,118,21.3127,
998,7274,5692,1582,106,19.5251,
999,7369,5785,1584,95,20.9438,
1000,7500,5867,1633,131,19.8672,
1001,7566,5962,1604,66,22.8316,
1002,7695,6057,1638,129,20.9726,
1003,7798,6151,1647,103,21.6875,
1004,7881,6258,1623,83,21.3853,
1005,7997,6338,1659,116,23.4938,
1006,8145,6422,1723,148,23.5704,
1007,8258,6513,1745,113,22.5837,
1008,8359,6611,1748,101,21.6656,
1009,8410,6693,1717,51,18.0413,
1010,8582,6789,1793,172,23.9406,
1011,8692,6886,1806,110,23.559,
1012,8804,6982,1822,112,22.7815,
1013,8908,7070,1838,104,21.8952,
1014,9012,7164,1848,104,23.4994,
1015,9132,7257,1875,120,26.3456,
1016,9215,7341,1874,83,22.5039,
1017,9364,7437,1927,149,25.4112,
1018,9490,7527,1963,126,23.3199,
1019,9545,7635,1910,55,21.0199,
1020,9721,7723,1998,176,25.9079,
1021,9805,7811,1994,84,24.8262,
1022,9918,7914,2004,113,23.7826,
1023,10008,8000,2008,90,26.7373,
1024,10123,8095,2028,115,23.2786,
1025,10188,8181,2007,65,27.0415,
1026,10316,8278,2038,128,24.8936,
1027,10423,8366,2057,107,29.2298,
1028,10579,8452,2127,156,24.9278,
1029,10656,8559,2097,77,28.1882,
1030,10778,8647,2131,122,26.8367,
1031,10884,8738,2146,106,24.1875,
1032,11017,8830,2187,133,26.0816,
1033,11093,8926,2167,76,23.3731,
1034,11210,9017,2193,117,26.0151,
1035,11354,9111,2243,144,24.7361,
1036,11434,9210,2224,80,25.9874,
1037,11525,9308,2217,91,24.462,
1038,11615,9393,2222,90,27.9154,
1039,11769,9482,2287,154,24.9454,
1040,11897,9577,2320,128,24.2164,
1041,11994,9683,2311,97,27.5004,
1042,12153,9767,2386,159,27.3149,
1043,12226,9874,2352,73,23.3518,
1044,12336,9961,2375,110,26.7178,
1045,12419,10060,2359,83,24.5931,
1046,12495,10163,2332,76,23.8302,
1047,12569,10255,2314,74,29.5433,
1048,12614,10342,2272,45,31.3975,
1049,12638,10418,2220,24,21.1618,
1050,12638,10511,2127,0,0,
1051,12638,10580,2058,0,0,
1052,12638,10636,2002,0,0,
1053,12638,10692,1946,0,0,
1054,12638,10745,1893,0,0,
1055,12638,10794,1844,0,0,
1056,12638,10836,1802,0,0,
1057,12638,10879,1759,0,0,
1058,12638,10921,1717,0,0,
1059,12638,10953,1685,0,0,
1060,12638,10995,1643,0,0,
1061,12638,11040,1598,0,0,
1062,12638,11080,1558,0,0,
1063,12638,11117,1521,0,0,
1064,12638,11156,1482,0,0,
1065,12638,11193,1445,0,0,
1066,12638,11238,1400,0,0,
1067,12638,11276,1362,0,0,
1068,12638,11315,1323,0,0,
1069,12638,11345,1293,0,0,
1070,12638,11383,1255,0,0,
1071,12638,11425,1213,0,0,
1072,12638,11465,1173,0,0,
1073,12638,11495,1143,0,0,
1074,12638,11544,1094,0,0,
1075,12638,11579,1059,0,0,
1076,12638,11622,1016,0,0,
1077,12638,11662,976,0,0,
1078,12638,11696,942,0,0,
1079,12638,11726,912,0,0,
1080,12638,11765,873,0,0,
1081,12638,11798,840,0,0,
1082,12638,11840,798,0,0,
1083,12638,11874,764,0,0,
1084,12638,11909,729,0,0,
1085,12638,11940,698,0,0,
1086,12638,11969,669,0,0,
1087,12638,12016,622,0,0,
1088,12638,12048,590,0,0,
1089,12638,12082,556,0,0,
1090,12638,12121,517,0,0,
1091,12638,12152,486,0,0,
1092,12638,12190,448,0,0,
1093,12638,12227,411,0,0,
1094,12638,12257,381,0,0,
1095,12638,12291,347,0,0,
1096,12638,12337,301,0,0,
1097,12638,12372,266,0,0,
1098,12638,12403,235,0,0,
1099,12638,12440,198,0,0,
1100,12638,12473,165,0,0,
1101,12638,12504,134,0,0,
1102,12638,12530,108,0,0,
1103,12638,12556,82,0,0,
1104,12638,12580,58,0,0,
1105,12638,12609,29,0,0,
1106,12638,12623,15,0,0,
1107,12638,12632,6,0,0,
1108,12638,12637,1,0,0,
1109,12638,12638,0,0,0,
