Lane Group Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR
Lanes,7381,0,1,3,1,0,0,2,3,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shared,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Width,7381,0,12,12,12,0,0,12,12,12,0,0,12,12,12,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Storage,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StLanes,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed,7381,0,0,40,0,0,0,0,40,0,0,0,0,25,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FirstDetect,7381,0,50,50,50,0,0,50,50,50,0,0,50,50,50,0,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
LastDetect,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phase1,7381,0,0,2,0,0,0,1,6,0,0,0,0,4,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PermPhase1,7381,0,2,0,2,0,0,0,0,6,0,0,4,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DetectPhase1,7381,0,2,2,2,0,0,1,6,6,0,0,4,4,4,0,0,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
IdealFlow,7381,0,1900,1900,1900,0,0,1900,1900,1900,0,0,1900,1900,1900,0,0,1900,1900,1900,0,0,0,0,0,0,0,0,0,0,0,0,0
LostTime,7381,0,4,4,4,0,0,4,4,4,0,0,4,4,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SatFlow,7381,0,0,4223,1408,0,0,2815,4223,1408,0,0,0,0,1408,0,0,2815,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0
SatFlowPerm,7381,0,515,4223,1408,0,0,0,4223,1408,0,0,1220,0,1408,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0
SatFlowRTOR,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeadwayFact,7381,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Volume,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peds,7381,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicycles,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHF,7381,0,0.92,0.92,0.92,0,0,0.92,0.92,0.92,0,0,0.92,0.92,0.92,0,0,0.92,0.92,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0
Growth,7381,0,100,100,100,0,0,100,100,100,0,0,100,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
HeavyVehicles,7381,0,2,2,2,0,0,2,2,2,0,0,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BusStops,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midblock,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TravelTime,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
