zone_id,node_id,external_OD_flag
1,5577,0
2,11123,0
3,11159,0
4,11180,0
5,11282,0
6,5238,0
7,11281,0
8,10847,0
9,5356,0
10,5929,0
11,5119,0
12,11151,0
13,5034,0
14,5037,0
15,4899,0
16,11827,0
17,1289,0
18,1286,0
19,1352,0
20,1356,0
20,1357,0
21,6253,0
22,3689,0
23,1361,0
24,1325,0
25,1354,0
25,1355,0
26,1323,0
27,1346,0
27,1348,0
28,1359,0
29,3002,0
30,1360,0
31,1314,0
31,1316,0
31,1318,0
31,8002,0
31,8116,0
32,1285,0
33,1351,0
34,1319,0
34,1320,0
34,1322,0
35,1290,0
36,1299,0
37,1349,0
37,1353,0
38,1397,0
39,1404,0
40,1296,0
41,5578,0
