demand_type,VOT_dollar_per_hour,percentage
1,0.000000,2.749
1,5.000000,12.206
1,10.000000,10.007
1,15.000000,12.619
1,20.000000,1.278
1,25.000000,0.000
1,30.000000,1.141
1,0.000000,0.687
1,10.000000,3.052
1,20.000000,2.502
1,30.000000,3.155
1,40.000000,0.320
1,50.000000,0.000
1,60.000000,0.285
1,0.000000,3.436
1,10.000000,15.258
1,20.000000,12.509
1,30.000000,15.773
1,40.000000,1.598
1,50.000000,0.000
1,60.000000,1.426
2,0.000000,2.749
2,5.000000,12.206
2,10.000000,10.007
2,15.000000,12.619
2,20.000000,1.278
2,25.000000,0.000
2,30.000000,1.141
2,0.000000,0.687
2,10.000000,3.052
2,20.000000,2.502
2,30.000000,3.155
2,40.000000,0.320
2,50.000000,0.000
2,60.000000,0.285
2,0.000000,3.436
2,10.000000,15.258
2,20.000000,12.509
2,30.000000,15.773
2,40.000000,1.598
2,50.000000,0.000
2,60.000000,1.426
3,20.000000,62.405
3,30.000000,31.546
3,40.000000,3.196
3,50.000000,0.000
3,60.000000,2.852
